Brand,Date,Expiry,Floor,Lease Start,Parent Group,Sales Category,Tcode,Unit,GLA,Sales
IStyle,5/1/2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,124479
IStyle,5/1/2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,202317
IStyle,11/1/2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,178876
IStyle,11/1/2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,231719
IStyle,10/1/2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,257143
IStyle,10/1/2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,278904
IStyle,9/1/2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,361801
IStyle,9/1/2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,359683
Mobiles Tech,4/1/2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,41278
Mobiles Tech,4/1/2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,32317
Mobiles Tech,8/1/2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,43289
Mobiles Tech,8/1/2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,28430
Mobiles Tech,12/1/2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,48523
Mobiles Tech,12/1/2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,28015
Mobiles Tech,2/1/2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,37230
Mobiles Tech,2/1/2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,29246
Mobiles Tech,1/1/2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,39127
Mobiles Tech,1/1/2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,35184
Mobiles Tech,7/1/2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,39170
Mobiles Tech,7/1/2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,29144
Mobiles Tech,6/1/2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,35814
Mobiles Tech,6/1/2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,30401
Mobiles Tech,3/1/2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,38120
Mobiles Tech,3/1/2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,33045
Mobiles Tech,5/1/2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,42578
Mobiles Tech,5/1/2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,36714
Mobiles Tech,11/1/2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,40896
Mobiles Tech,11/1/2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,27514
Mobiles Tech,10/1/2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,39220
Mobiles Tech,10/1/2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,33577
Mobiles Tech,9/1/2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,42783
Mobiles Tech,9/1/2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,30818
ATTILA MONGOLIAN GRILL,4/1/2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,4/1/2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,8/1/2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,8/1/2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,12/1/2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,12/1/2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,2/1/2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,2
ATTILA MONGOLIAN GRILL,2/1/2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,1/1/2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,2
ATTILA MONGOLIAN GRILL,1/1/2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,7/1/2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,7/1/2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,6/1/2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,6/1/2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,3/1/2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,2
ATTILA MONGOLIAN GRILL,3/1/2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,5/1/2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,5/1/2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,11/1/2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,11/1/2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,10/1/2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,10/1/2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,9/1/2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,9/1/2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
Burger King,4/1/2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,79162
Burger King,4/1/2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,62238
Burger King,8/1/2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,72377
Burger King,8/1/2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,86326
Burger King,12/1/2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,81641
Burger King,12/1/2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,84373
