Brand,Date,Expiry,Floor,Lease Start,Parent Group,Sales Category,Tcode,Unit,GLA,Rent
Mobiles Tech,Mar 2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4988
Mobiles Tech,May 2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4750
Mobiles Tech,May 2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4988
Mobiles Tech,Nov 2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4988
Mobiles Tech,Nov 2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,5237
Mobiles Tech,Oct 2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4988
Mobiles Tech,Oct 2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,5237
Mobiles Tech,Sep 2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4988
Mobiles Tech,Sep 2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,5237
ATTILA MONGOLIAN GRILL,Apr 2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Apr 2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Aug 2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Aug 2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Dec 2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Dec 2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Feb 2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,14895
ATTILA MONGOLIAN GRILL,Feb 2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Jan 2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,14895
ATTILA MONGOLIAN GRILL,Jan 2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Jul 2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Jul 2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Jun 2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Jun 2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Mar 2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,14895
ATTILA MONGOLIAN GRILL,Mar 2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,May 2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,May 2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Nov 2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Nov 2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Oct 2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Oct 2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Sep 2017,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
ATTILA MONGOLIAN GRILL,Sep 2018,3/14/2017,Second Floor,3/14/2017,Others,Food Court,t0000683,,52,0
Burger King,Apr 2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Apr 2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Aug 2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Aug 2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Dec 2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Dec 2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Feb 2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,17370
Burger King,Feb 2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Jan 2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,17370
Burger King,Jan 2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Jul 2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Jul 2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Jun 2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Jun 2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Mar 2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,17370
Burger King,Mar 2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,May 2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,May 2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Nov 2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Nov 2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Oct 2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Oct 2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Sep 2017,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Burger King,Sep 2018,,Second Floor,4/4/2020,Others,Food Court,t0000709,L2-130,60,18233
Chick'n Flavor,Apr 2017,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,0
Chick'n Flavor,Apr 2018,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,0
Chick'n Flavor,Aug 2017,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,0
Chick'n Flavor,Aug 2018,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,0
Chick'n Flavor,Dec 2017,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,0
Chick'n Flavor,Dec 2018,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,8250
Chick'n Flavor,Feb 2017,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,0
Chick'n Flavor,Feb 2018,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,0
Chick'n Flavor,Jan 2017,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,0
Chick'n Flavor,Jan 2018,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,0
Chick'n Flavor,Jul 2017,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,0
Chick'n Flavor,Jul 2018,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,0
Chick'n Flavor,Jun 2017,9/30/2021,Second Floor,10/1/2018,Others,Food Court,t0118103,L2-127,66,0
